"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"bulletin:16B","__________________________
COMPENSATION

You will receive a bonus for stopping any trespasser. A smaller bonus is provided for firing on, but missing, your target.

__________________________
WEAPONS PROTOCOL

Review instructional diagram on following page.","__________________________
报酬

当你阻止了任何偷渡者时，你会得到额外的奖金。但如果你射击却未命中目标时，只能得到少量奖金。

__________________________
武器使用规则

参见下一页上的指示图。"
"bulletin:18A","Unfavorable international press has affected immigration protocol.

All denials must be accompanied by a REASON FOR DENIAL stamp.

A new computer inking system has been installed. Interrogate discrepancies to prime the REASON FOR DENIAL stamp.

Continued...","国际新闻上对我们不利的报道影响了移民规则。

所有的拒签都必须同时也加盖拒签理由章。

安装了新的电子墨水系统。审讯并找出不一致处来准备好拒签理由章。

未完待续……"
"bulletin:18B","__________________________
DENIAL PROTOCOL

REASON FOR DENIAL stamp is activated on first interrogation.

When denying entry, stamp both DENIED and REASON FOR DENIAL on passport.

If applicant clarifies discrepancies sufficiently, approval is authorized even while REASON FOR DENIAL stamp remains available.","__________________________
拒签规则

第一次审讯时会激活拒签理由章。

拒绝入境时，护照上需加盖拒签章以及拒签理由章。

如果申请人能充分解释清楚不一致的原因，那么即使在拒签理由章可用的情况下仍然能够批准入境。"
"bulletin:19A","Impor rejects all imported goods from Arstotzka.

Under request from the Ministry of Trade, the Ministry of Admission will react to this violation.

Deny all travelers from Impor.","印波拒收来自阿斯托茨卡的所有进口物品。

根据贸易局的要求，出入境管理局会针对这种行为采取措施。

拒签所有来自印波的游客。"
"bulletin:20A","Impor has relented on their faulty policy.

Imporians are now permitted entry.

The divisional authority of East Grestin operations will visit again today.","印波的错误政策有所软化。

印波人现在可以被准许入境。

主管东葛瑞斯汀的部门领导今天会再次到访。"
"bulletin:21A","A special program for political asylum has been established.

Those seeking asylum must carry a valid GRANT OF ASYLUM.

Entrants with such a grant do not require an ENTRY PERMIT or an ID SUPPLEMENT.","现在实施了一项针对政治避难的特殊政策。

那些寻求政治避难的入境者必须持有合法的庇护授予书。

持有庇护授予书的入境者无需提供入境许可证或身份补充文件."
"bulletin:23A","Your position is important and your responsibilities are broad.

Follow all protocols strictly.","你的职位非常重要，你的职责范围也非常宽。

请严格遵守所有的规章制度。"
"bulletin:24A","Recent events have cast suspicion on the activities of Arstotzkan citizens in the ALTAN district.

The Ministry of Information has requested our cooperation.

A special drawer for confiscating documents has been installed in your booth.

Continued...","近期的一系列事件使阿尔坦地区的阿斯托茨卡公民的行为受到怀疑。

情报局请求我们的配合。

你的工作间中安装了一个新的专门用于没收文件的抽屉。

未完待续……"
"bulletin:24B","The rulebook has been updated with information regarding confiscation policy.

Confiscate all Arstotzkan passports from residents living in ALTAN district.

Travelers may still be granted entry if passport is confiscated and no other rules are violated.

PASSPORT SEIZURE slips will be issued to allow entry or denial without a passport.","规则手册上已更新了关于没收政策的信息。

没收所有阿尔坦地区的阿斯托茨卡居民的护照。

在不违反其他任何规定的情况下，被没收护照的旅客仍可能可以被给予入境许可。

护照扣押单可被用于在没有护照的情况下给予入境批准或拒绝入境。"
"bulletin:25A","United Federation citizens present a risk of spreading infectious disease.

Deny all entrants from United Federation.

Continue to confiscate Arstotzkan passports from residents living in ALTAN district.","共和联邦的公民可能散播传染病。

拒绝所有来自共和联邦的入境者。

继续没收住在阿尔坦地区的阿斯托茨卡居民的护照。"
"bulletin:26A","The risk of disease is too great. A new protocol has been instituted.

All entrants must carry a valid CERTIFICATE OF VACCINATION with an up-to-date POLIO vaccine.

This requirement extends to natives, foreigners, diplomats, and asylum seekers.

Continued...","传染病的威胁太大了，政府设立了一项新的规定。

所有入境者必须持有合法的疫苗接种证明并在近期接种过脊髓灰质炎疫苗。

此项规定对所有本国人，外国人，外交官以及政治避难者均有效。

未完待续……"
"bulletin:26B","United Federation citizens are permitted entry with such certification.

Continue to confiscate Arstotzkan passports from residents living in ALTAN district.","持此证明的共和联邦公民可以准许入境。

继续没收住在阿尔坦地区的阿斯托茨卡居民的护照。"
"bulletin:27A","In order to improve efficiency, the ENTRY PERMIT and ID SUPPLEMENT have been consolidated into a single ACCESS PERMIT.

Foreigners are now required to present a valid ACCESS PERMIT.

Continued...","为了提高效率，入境许可证和身份证明文件被合并成为一份单独的文件称为进境许可证。

外国人如需入境须提供合法的进境许可证。

未完待续……"
"bulletin:27B","Yesterday's coordinated attack has prompted an emergency meeting. 

An important Kolechian negotiator will arrive today to discuss issues at this checkpoint.

Continue to confiscate Arstotzkan passports from residents living in ALTAN district.","昨天那起有组织的袭击促使政府召开了紧急会议。 

一位重要的科勒齐亚谈判家今天会到访来讨论关于这个检查站的问题。

继续没收住在阿尔坦地区的阿斯托茨卡居民的护照。"
"bulletin:28A","In response to continued attacks, the Ministry of Information is expanding the passport confiscation program.

Confiscate all Arstotzkan passports from native entrants.

There are no exceptions.

Do not confiscate foreign passports.","作为对于持续攻击的回应，情报局扩大了护照没收项目的力度。

没收所有阿斯托茨卡本国入境者的护照。

无一例外。

不要没收外国人的护照。"
"bulletin:29A","[NOTICE] All government workers are subject to a thorough information audit. Involvement with unauthorized groups is grounds for immediate arrest.

Your audit is scheduled for: DECEMBER 24

DO NOT LEAVE YOUR DESIGNATED REGION.

Continued...","[NOTICE] 所有政府公务人员须接受全面情报审查。若发现与非法组织有染将被立即逮捕。

你的审查安排在：十二月24号

切勿离开你所属的区域。

未完待续……"
"bulletin:29B","Continue to confiscate all Arstotzkan passports from native entrants.","继续没收所有阿斯托茨卡本国入境者的护照。"
"bulletin:30A","[NOTICE] All government workers are subject to a thorough information audit. Involvement with unauthorized groups is grounds for immediate arrest.

Your audit is scheduled for: DECEMBER 24

DO NOT LEAVE YOUR DESIGNATED REGION.

Continued...","[NOTICE] 所有政府公务人员须接受全面情报审查。若发现与非法组织有染将被立即逮捕。

你的审查安排在：十二月24号

切勿离开你所属的区域。

未完待续……"
"bulletin:30B","Continue to confiscate all Arstotzkan passports from native entrants.","继续没收所有阿斯托茨卡本国入境者的护照。"
"bulletin:31A","The Ministry of Admission is involved in discussions regarding the closure of this checkpoint.

Until a decision is made, maintain your duties as ordered.

Continued...","出入境管理局正讨论关闭这个检查站的问题。

在决定做出之前，命令你照常工作。

未完待续……"
"bulletin:31B","You are scheduled for an information audit tomorrow morning.

DO NOT LEAVE YOUR DESIGNATED REGION.

Continue to confiscate all Arstotzkan passports from native entrants.","明早你须出席情报审查。

切勿离开你所属的区域。

继续没收所有阿斯托茨卡本国入境者的护照。"
"facts","$paper: Invalid $fact","$paper: 无效的$fact"
"facts","Missing $paper","缺少$paper"
"facts","$0 DISTRICT","$0地区"
"facts","Presence","态度"
"facts","Sufficience","合格"
"facts","Excellence","优秀"
"facts","Obristan","奥布里斯坦"
"facts","Antegria","安太格里亚"
"facts","Republia","里帕布里亚"
"facts","UnitedFed","共和联邦"
"facts","Impor","印波"
"facts","Kolechia","科勒齐亚"
"facts","Arstotzka","阿斯托茨卡"
"facts","Skal","斯卡尔"
"facts","Lorndaz","隆达兹"
"facts","Mergerous","麦杰瑞斯"
"facts","St. Marmero","圣马梅洛"
"facts","Glorian","格洛里安"
"facts","Outer Grouse","外格鲁斯"
"facts","True Glorian","真格洛里安"
"facts","Lesrenadi","莱斯瑞纳迪"
"facts","Bostan","博斯坦"
"facts","Great Rapid","大拉皮德"
"facts","Shingleton","辛来顿"
"facts","Korista City","科里斯塔城"
"facts","Enkyo","恩克约"
"facts","Haihan","海汉"
"facts","Tsunkeido","岑克多"
"facts","Yurko City","郁尓科城"
"facts","Vedor","维多"
"facts","West Grestin","西葛瑞斯汀"
"facts","Orvech Vonor","奥维奇 沃诺"
"facts","East Grestin","东葛瑞斯汀"
"facts","Paradizna","帕拉迪兹纳"
"facts","Passport","护照"
"facts","Entry Ticket","入境凭证"
"facts","Entry Permit","入境许可证"
"facts","Work Pass","工作许可"
"facts","Id Card","身份证"
"facts","Id Supplement","身份补充文件"
"facts","Access Permit","进境许可证"
"facts","Diplomatic Auth","外交授权书"
"facts","Asylum Grant","庇护授予书"
"facts","Vaccine Cert","疫苗接种证明"
"facts","Identity Record","身份记录"
"facts","Fingerprints","指纹"
"facts","Name","姓名"
"facts","Id Number","身份证号"
"facts","Expiration Date","到期日"
"facts","Issuing City","签发城市"
"facts","Birth Date","生日"
"facts","Alias","别名"
"facts","Height","身高"
"facts","Weight","体重"
"facts","Description","特征描述"
"facts","Thumbprint","拇指指纹"
"facts","Date","日期"
"facts","Purpose","入境目的"
"facts","Duration","入境期限"
"facts","Face","面部"
"facts","District","地区"
"facts","Gender","性别"
"facts","Work End Date","工作结束日"
"facts","Altan","阿尔坦"
"facts","Vescillo","韦希洛"
"facts","Burnton","布尔顿"
"facts","Octovalis","奥克托瓦里斯"
"facts","Gennistora","金尼斯托拉"
"facts","Lendiforma","伦迪佛玛"
"facts","Wozenfield","沃岑菲尔德"
"facts","Fardesto","法德斯托"
"facts","DENTISTRY","牙医"
"facts","HEALTH-CARE","卫生保健"
"facts","GENERAL-LABOR","一般劳工"
"facts","ENGINEERING","工程师"
"facts","SPORTS","运动员"
"facts","ARCHITECTURE","建筑业"
"facts","FOOD-SERVICE","食品服务业"
"facts","AVIATION","航空业"
"facts","ACCOUNTING","会计师"
"facts","FISHING","渔业"
"facts","DRAFTING","入伍"
"facts","RESEARCH","科学研究"
"facts","FINE-ARTS","美术家"
"facts","AGRICULTURE","农业"
"facts","MANUFACTURING","制造业"
"facts","CONSTRUCTION","建筑业"
"facts","SURVEYING","测量"
"facts","STATISTICS","数据分析师"
"facts","POLIO","脊髓灰质炎"
"facts","HPV","子宫颈癌"
"facts","COWPOX","牛痘"
"facts","TETANUS","破伤风"
"facts","YEL.FEV.","黄热病"
"facts","CHOLERA","霍乱"
"facts","RUBELLA","风疹"
"facts","HEP-B","B型肝炎"
"facts","MEASLES","麻疹"
"facts","TUBERC.","肺结核"
"facts","2 DAYS","2 天"
"facts","14 DAYS","14 天"
"facts","1 MONTH","1 个月"
"facts","2 MONTHS","2 个月"
"facts","3 MONTHS","3 个月"
"facts","6 MONTHS","6 个月"
"facts","1 YEAR","1 年"
"facts","FOREVER","永远"
"facts","visit","访问"
"facts","transit","中转"
"facts","work","工作"
"facts","immigrate","移民"
"facts","Possible Smuggler Admitted","准许了潜在走私者入境"
"facts","Missing documents","文件缺失"
"facts","Wanted criminal admitted","准许了犯罪分子入境"
"facts","Incorrect purpose response","回答的入境目的不正确"
"facts","Incorrect visit duration response","回答的入境期限不正确"
"facts","Passport: Non-matching photo","护照：照片不符"
"facts","Forged Entry Permit","伪造的入境许可证"
"facts","Forged Work Pass","伪造的工作许可"
"facts","Id Card: Non-matching photo","身份证：照片不符"
"facts","Forged Access Permit","伪造的进境许可证"
"facts","No Diplomatic Access to Arstotzka","无进入阿斯托茨卡的外交访问权"
"facts","Forged Diplomatic Auth","伪造的外交授权书"
"facts","Forged Asylum Grant Seal","伪造的庇护授予书印章"
"facts","Necessary vaccine expired","必要的疫苗已过期"
"facts","Missing necessary vaccine","未接种必要的疫苗"
"facts","Name does not match record","姓名与记录不符"
"facts","Alias does not match record","别名与记录不符"
"facts","Fingerprints do not match record","指纹与记录不符"
"facts","Cobrastan is not a real country","科布拉斯坦不是个真的国家"
"facts","No entry from Antegria","不许从安太格里亚入境"
"facts","No entry from Arstotzka","不许从阿斯托茨卡入境"
"facts","No entry from Republia","不许从里帕布里亚入境"
"facts","No entry from United Fed","不许从共和联邦入境"
"facts","No entry from Obristan","不许从奥布里斯坦入境"
"facts","No entry from Impor","不许从印波入境"
"facts","No entry from Kolechia","不许从科勒齐亚入境"
"facts","Possible Terrorist Admitted","准许了潜在恐怖分子入境"
"facts","Entrant Holds Conflicting Passports","入境者持有不相符的护照"
"facts","Entrant must have a passport","入境者必须持有护照"
"facts","Foreigners require an entry permit","外国人须持有入境许可证"
"facts","Foreigners require an entry ticket","外国人须持有入境凭证"
"facts","All documents must be current","所有文件必须是最新的"
"facts","Workers must have a work pass","劳工必须持有工作许可"
"facts","Citizens must have an id card","公民必须持有身份证"
"facts","Foreigners require an id supplement","外国人须持有身份补充文件"
"facts","Arstotzkan citizens only","仅允许阿斯托茨卡公民"
"facts","No entry from United Federation","不许从共和联邦入境"
"facts","No weapons or contraband","不许持有武器或违禁品"
"facts","All Kolechians must be searched","必须搜查所有科勒齐亚人"
"facts","Diplomats require authorization","外交官须持有授权书"
"facts","Entrant must have polio vaccine cert","入境者必须持有脊髓灰质炎疫苗接种证明"
"facts","Asylum seekers must have a grant","寻求政治避难者必须持有庇护授予书"
"facts","Foreigners require an access permit","外国人须持有进境许可证"
"facts","CONFISCATE ARSTOTZKAN PASSPORTS BELONGING TO ALTAN RESIDENTS.","没收属于阿尔坦居民的阿斯托茨卡护照。"
"facts","CONFISCATE ALL ARSTOTZKAN PASSPORTS. NO EXCEPTIONS.","没收所有阿斯托茨卡人的护照，无一例外。"
"facts","Passport not confiscated","没有没收护照"
"paper:SecondPassport","West Grestin","西葛瑞斯汀"
"paper:Rules","Basic Rules","基本规则"
"paper:Rules","Regional Map","区域地图"
"paper:Rules","Booth Info","工作间信息"
"paper:Rules","Documents","文件"
"paper:Rules","Confiscation","没收"
"paper:Rules","Obristan","奥布里斯坦"
"paper:Rules","Antegria","安太格里亚"
"paper:Rules","Republia","里帕布里亚"
"paper:Rules","United","共和"
"paper:Rules","Federation","联邦"
"paper:Rules","Impor","印波"
"paper:Rules","Kolechia","科勒齐亚"
"paper:Rules","Arstotzka","阿斯托茨卡"
"paper:Rules","ANTEGRIA","安太格里亚"
"paper:Rules","ARSTOTZKA","阿斯托茨卡"
"paper:Rules","IMPOR","印波"
"paper:Rules","KOLECHIA","科勒齐亚"
"paper:Rules","OBRISTAN","奥布里斯坦"
"paper:Rules","REPUBLIA","里帕布里亚"
"paper:Rules","UNITED FED.","共和联邦"
"paper:Rules","Id Card (Native)","身份证（本国人）"
"paper:Rules","Entry Permit","入境许可证"
"paper:Rules","Id Supplement","身份补充文件"
"paper:Rules","Access Permit","进境许可证"
"paper:Rules","Work Pass","工作许可"
"paper:Rules","Diplomatic Auth.","外交授权书"
"paper:Rules","Grant of Asylum","庇护授予书"
"paper:Rules","Vaccine Cert.","疫苗接种证明"
"intro","Congratulations.","恭喜你。"
"intro","The October labor lottery is complete. Your name was pulled.","十月份的劳工抽奖结束了，你幸运的被抽中。"
"intro","For immediate placement, report to the Ministry of Admission at Grestin Border Checkpoint.","为了尽快上岗，请向位于葛瑞斯汀边检站的出入境管理局报到"
"intro","An apartment will be provided for you and your family in East Grestin. Expect a Class-8 dwelling.","政府将在东葛瑞斯汀为你和你的家人提供住所，住所等级为8级。"
"intro","Glory to Arstotzka.","阿斯托茨卡万岁。"
"end:in-debt","Arstotzka has zero tolerance for delinquency.","阿斯托茨卡对拖欠行为零容忍。"
"end:in-debt","Your family will be sent back to their village.","你的家人将被遣返他们原来的村庄。"
"end:in-debt","You are under arrest until your debts are repaid.","你将被逮捕直到你还清你的债务。"
"end:in-debt","A replacement inspector will be found easily.","政府会可以轻易地找到一个监察官来替代你。"
"end:in-debt","Glory to Arstotzka.","阿斯托茨卡万岁。"
"end:family-dead","Your entire family is gone.","你的所有家人都去世了。"
"end:family-dead","The Ministry Of Labor focuses on Arstotzka's future growth.","劳动局注重阿斯托茨卡的未来发展。"
"end:family-dead","Workers are expected to support large healthy families.","我们希望所有员工都能负担起健康的大家庭。"
"end:family-dead","Your position will be filled by someone more appropriate.","你的职位将会被更合适的人选替代。"
"end:family-dead","Glory to Arstotzka.","阿斯托茨卡万岁。"
"end:turned-over-ezic-docs","You are under arrest for associating with suspicious groups.","你由于跟可疑组织勾结而被捕。"
"end:turned-over-ezic-docs","The Ministry of Information will perform a full audit of your recent activities.","情报局会对你近期的行为进行一次彻底的稽查。"
"end:turned-over-ezic-docs","Glory to Arstotzka.","阿斯托茨卡万岁。"
"end:caught-with-ezic-money","The Ministry of Income has discovered an anomaly in your earnings.","收入管理局发现了你账户中的异常收入。"
"end:caught-with-ezic-money","You are under arrest pending a full audit of your recent activities.","你被捕了并面临一次针对你近期行为的彻底稽查。"
"end:caught-with-ezic-money","Your family will likewise be held for questioning.","你的家庭成员同样也会被质询。"
"end:caught-with-ezic-money","The border will remain open under a replacement inspector.","边检站会继续开放并由新的监察官替代你的工作。"
"end:caught-with-ezic-money","Glory to Arstotzka.","阿斯托茨卡万岁。"
"end:killed-innocent","You are under arrest for the murder of an innocent.","你由于杀害无辜而被逮捕。"
"end:killed-innocent","The penalty is death.","你将面临死刑。"
"end:killed-innocent","Your family will be questioned about their involvement.","你的家庭成员也会被质询是否有参与其中。"
"end:killed-innocent","The border will remain open under a replacement inspector.","边检站会继续开放并由新的监察官替代你的工作。"
"end:killed-innocent","Glory to Arstotzka.","阿斯托茨卡万岁。"
"end:tranqed-innocent","You are under arrest for attacking an innocent.","你由于攻击无辜人员而被捕。"
"end:tranqed-innocent","The penalty is forced labor.","你将面临强制劳动改造。"
"end:tranqed-innocent","Your family will be questioned about their involvement.","你的家庭成员也会被质询是否有参与其中。"
"end:tranqed-innocent","The border will remain open under a replacement inspector.","边检站会继续开放并由新的监察官替代你的工作。"
"end:tranqed-innocent","Glory to Arstotzka.","阿斯托茨卡万岁。"
"end:killed-guard","You are under arrest for the murder of an Arstotzkan official.","你由于蓄意谋杀阿斯托茨卡官员而被捕。"
"end:killed-guard","The penalty is death.","你将面临死刑。"
"end:killed-guard","Your family will be questioned about their involvement.","你的家庭成员也会被质询是否有参与其中。"
"end:killed-guard","The border will remain open under a replacement inspector.","边检站会继续开放并由新的监察官替代你的工作。"
"end:killed-guard","Glory to Arstotzka.","阿斯托茨卡万岁。"
"end:tranqed-guard","You are under arrest for attacking an Arstotzkan official.","你由于蓄意攻击阿斯托茨卡官员而被捕。"
"end:tranqed-guard","The penalty is death.","你将面临死刑。"
"end:tranqed-guard","Your family will be questioned about their involvement.","你的家庭成员也会被质询是否有参与其中。"
"end:tranqed-guard","The border will remain open under a replacement inspector.","边检站会继续开放并由新的监察官替代你的工作。"
"end:tranqed-guard","Glory to Arstotzka.","阿斯托茨卡万岁。"
"end:killed-target","You are under arrest for the murder of an innocent.","你由于杀害无辜而被逮捕。"
"end:killed-target","The penalty is death.","你将面临死刑。"
"end:killed-target","Your family will be questioned about their involvement.","你的家庭成员也会被质询是否有参与其中。"
"end:killed-target","The border will remain open under a replacement inspector.","边检站会继续开放并由新的监察官替代你的工作。"
"end:killed-target","Glory to Arstotzka.","阿斯托茨卡万岁。"
"end:killed-target","[A note appears from under the cell door]","[牢房门下塞进一张纸条]"
"end:killed-target","INSPECTOR - FAMILY IS SAFE - TARGET ELIMINATED BUT OTHER PROBLEMS ARISE","监察员 - 你的家人都安全 - 目标已被除掉但出现了新问题"
"end:killed-target","REPLACEMENT INSPECTOR NOT COOPERATIVE - EZIC ACTIVITIES HINDERED","新来的监察员不配合 - 妨碍了EZIC的行动"
"end:killed-target","WE CANNOT PROVIDE FURTHER SUPPORT - EZIC TO HIBERNATE AGAIN","我们没办法继续给你提供帮助 - EZIC需要继续潜伏"
"end:killed-target","FAMILY WILL BE TAKEN TO OBRISTAN - GOOD LUCK","会把你的家人送到奥布里斯坦 - 祝你好运"
"end:tranqed-target","You are under arrest for attacking an innocent.","你由于攻击无辜人员而被捕。"
"end:tranqed-target","The penalty is forced labor.","你将面临强制劳动改造。"
"end:tranqed-target","Your family will be questioned about their involvement.","你的家庭成员也会被质询是否有参与其中。"
"end:tranqed-target","The border will remain open under a replacement inspector.","边检站会继续开放并由新的监察官替代你的工作。"
"end:tranqed-target","Glory to Arstotzka.","阿斯托茨卡万岁。"
"end:tranqed-target","[A note appears from under the cell door]","[牢房门下塞进一张纸条]"
"end:tranqed-target","INSPECTOR - FAMILY IS SAFE - TARGET HAS RECOVERED IN HOSPITAL","监察员 - 你的家人都安全 - 目标在医院已痊愈"
"end:tranqed-target","REPLACEMENT INSPECTOR NOT COOPERATIVE - EZIC ACTIVITIES HINDERED","新来的监察员不配合 - 妨碍了EZIC的行动"
"end:tranqed-target","WE CANNOT PROVIDE FURTHER SUPPORT - EZIC TO HIBERNATE AGAIN","我们没办法继续给你提供帮助 - EZIC需要继续潜伏"
"end:tranqed-target","FAMILY WILL BE TAKEN TO OBRISTAN - GOOD LUCK","会把你的家人送到奥布里斯坦 - 祝你好运"
"end:stuff-on-walls","You are under arrest for violating direct orders.","你由于违背了上司的命令而被捕。"
"end:stuff-on-walls","The penalty is forced labor.","你将面临强制劳动改造。"
"end:stuff-on-walls","Your family will be sent back to their village.","你的家人将被遣返他们原来的村庄。"
"end:stuff-on-walls","The border will remain open under a replacement inspector.","边检站会继续开放并由新的监察官替代你的工作。"
"end:stuff-on-walls","Glory to Arstotzka.","阿斯托茨卡万岁。"
"end:arrested-boss-buddy","Your supervisor has reported you for theft of Arstotzkan property.","你的主管检举了你盗窃阿斯托茨卡财产的行为。"
"end:arrested-boss-buddy","The penalty is forced labor.","你将面临强制劳动改造。"
"end:arrested-boss-buddy","Your family will be sent back to their village.","你的家人将被遣返他们原来的村庄。"
"end:arrested-boss-buddy","The border will remain open under a replacement inspector.","边检站会继续开放并由新的监察官替代你的工作。"
"end:arrested-boss-buddy","Glory to Arstotzka.","阿斯托茨卡万岁。"
"end:wall-destroyed","The Grestin Border wall has been destroyed.","葛瑞斯汀的边境围墙被破坏了。"
"end:wall-destroyed","You are under arrest for failure to defend the checkpoint.","你由于没能保卫好边检站而被捕。"
"end:wall-destroyed","Your family will be sent back to their village.","你的家人将被遣返他们原来的村庄。"
"end:wall-destroyed","The border will reopen under a replacement inspector.","边检站会重新开放并由新的监察官替代你的工作。"
"end:wall-destroyed","Glory to Arstotzka.","阿斯托茨卡万岁。"
"end:help-ezic-kill-attackers-wall-safe","Hello inspector.","你好，监察官。"
"end:help-ezic-kill-attackers-wall-safe","We have audited your recent activities.","我们稽查了你近期的活动。"
"end:help-ezic-kill-attackers-wall-safe","Your involvement with a group calling themselves THE ORDER OF THE EZIC STAR has been uncovered.","并发现了你与一伙自称为EZIC之星的组织之间的联系"
"end:help-ezic-kill-attackers-wall-safe","Several members of this group have been arrested in Arstotzka.","这个组织的部分成员在阿斯托茨卡被捕。"
"end:help-ezic-kill-attackers-wall-safe","At least one EZIC member has confessed to receiving your help.","至少一名EZIC成员供认曾得到过你的帮助。"
"end:help-ezic-kill-attackers-wall-safe","This represents treason of the highest order.","这代表了你对最高法律的背叛。"
"end:help-ezic-kill-attackers-wall-safe","Goodbye inspector.","永别了监察官。"
"end:help-ezic-kill-attackers-wall-safe","The execution is scheduled for tonight.","你今晚就将被处决。"
"end:help-ezic-kill-attackers-wall-safe","Your family's safety is unknown.","你的家人的安危也无法得到保证。"
"end:help-ezic-kill-attackers-wall-safe","EZIC has been crushed. The balance of justice is restored.","EZIC组织已被捣毁。正义的平衡已经恢复。"
"end:help-ezic-kill-attackers-wall-safe","Glory to Arstotzka.","阿斯托茨卡万岁。"
"end:help-ezic-kill-attackers-wall-safe","[A note appears from under the cell door]","[牢房门下塞进一张纸条]"
"end:help-ezic-kill-attackers-wall-safe","INSPECTOR - YOU HAVE BETRAYED US AT THE LAST MOMENT","监察官 - 你在最后时刻背叛了我们"
"end:help-ezic-kill-attackers-wall-safe","THIS CHAPTER OF EZIC IS OVER - WE CAN OFFER NO HELP TO YOUR FAMILY","EZIC的这个分会已经完蛋了 - 我们无法向你的家人提供帮助"
"end:help-ezic-kill-attackers-wall-destroyed","The border has been pierced.","边境被突破了。"
"end:help-ezic-kill-attackers-wall-destroyed","It is a glorious day for THE ORDER OF THE EZIC STAR but you have betrayed us at the last moment.","对于EZIC之星组织来说，这是伟大的一天。但你在最后时刻背叛了我们。"
"end:help-ezic-kill-attackers-wall-destroyed","EZIC grows strong while the corrupt and greedy weaken.","EZIC日益强大而腐败和贪婪的政府则逐渐被削弱。"
"end:help-ezic-kill-attackers-wall-destroyed","Your betrayal means you have chosen the wrong side.","你的叛变说明你站错了队伍。"
"end:help-ezic-kill-attackers-wall-destroyed","There is no place for you or your family in this revolution.","这场革命中已经没有你和你家人的容身之处了。"
"end:help-ezic-kill-attackers-wall-destroyed","Goodbye inspector.","永别了监察官。"
"end:help-ezic-kill-attackers-wall-destroyed","Glory to the New Arstotzka.","崭新的阿斯托茨卡万岁。"
"end:help-few-ezic","Hello inspector.","你好，监察官。"
"end:help-few-ezic","We have audited your recent activities.","我们稽查了你近期的活动。"
"end:help-few-ezic","Your involvement with a group calling themselves THE ORDER OF THE EZIC STAR has been uncovered.","并发现了你与一伙自称为EZIC之星的组织之间的联系"
"end:help-few-ezic","Several members of this group have been arrested in Arstotzka.","这个组织的部分成员在阿斯托茨卡被捕。"
"end:help-few-ezic","At least one EZIC member has confessed to receiving your help.","至少一名EZIC成员供认曾得到过你的帮助。"
"end:help-few-ezic","This represents treason of the highest order.","这代表了你对最高法律的背叛。"
"end:help-few-ezic","Goodbye inspector.","永别了监察官。"
"end:help-few-ezic","The execution is scheduled for tonight.","你今晚就将被处决。"
"end:help-few-ezic","Your family's safety is unknown.","你的家人的安危也无法得到保证。"
"end:help-few-ezic","EZIC has been crushed. The balance of justice is restored.","EZIC组织已被捣毁。正义的平衡已经恢复。"
"end:help-few-ezic","Glory to Arstotzka.","阿斯托茨卡万岁。"
"end:escape","You board the late train to the Northern Territories. It is nearly empty.","你登上了开往北部地区的末班火车。车上几乎没什么人。"
"end:escape","You pay for the hastily forged passport and re-entry ticket. They look terrible.","你花钱让人匆忙伪造了护照和重新入境凭证。它们看上去粗制滥造。"
"end:escape","You pay for the hastily forged passports and re-entry tickets. They look terrible.","你花钱让人匆忙伪造了护照和重新入境凭证。它们看上去粗制滥造。"
"end:escape","You reach the border crossing at dawn. The line is immense.","你在黎明时分到达了边境。但边检站前已排起了长龙。"
"end:escape","Six hours later.","六个小时后。"
"end:escape","Your documents.","你的文件。"
"end:escape","Here.","这里。"
"end:escape","You are entering alone?","你一个人入境？"
"end:escape","Yes.","是的。"
"end:escape","I come to visit relatives.","我来拜访亲友。"
"end:escape","No, my family as well.","呃不，还有我的家人。"
"end:escape","Hand over all documents now.","现在交出所有的文件。"
"end:escape","We come to visit relatives.","我们一起来拜访亲友。"
"end:escape","I do not care why you come. Wait here.","我不在乎你来干吗。等在这儿。"
"end:escape","*KACHUNK*","*咔嚓*"
"end:escape","Welcome to Obristan. Next!","欢迎来到奥布里斯坦。下一个！"
"end:help-ezic-hold-fire","Inspector! It is a glorious day!","监察官！这是伟大的一天！"
"end:help-ezic-hold-fire","The border has been pierced.","边境被突破了。"
"end:help-ezic-hold-fire","EZIC grows strong while the corrupt and greedy weaken.","EZIC日益强大而腐败和贪婪的政府则逐渐被削弱。"
"end:help-ezic-hold-fire","We are moving you and your family to a better home.","我们将向你和你的家人提供更好的住处。"
"end:help-ezic-hold-fire","Your services as an inspector are no longer required. We need agents.","你再也不需要当监察员了。我们需要密探。"
"end:help-ezic-hold-fire","Follow us and together we will complete the revolution!","跟我们一起完成这场革命吧！"
"end:help-ezic-hold-fire","Glory to the New Arstotzka.","崭新的阿斯托茨卡万岁。"
"end:ignore-ezic","Hello inspector.","你好，监察官。"
"end:ignore-ezic","We have audited your activities for the past 20 years.","我们稽查了你过去二十年的活动。"
"end:ignore-ezic","There are some anomalies.","虽然有一些异常。"
"end:ignore-ezic","But you have served Arstotzka well.","不过鉴于你忠心为阿斯托茨卡效力。"
"end:ignore-ezic","We will overlook these small transgressions.","我们将原谅你这些小小的违规行为。"
"end:ignore-ezic","You have been cleared of any suspicion.","你已被解除任何怀疑。"
"end:ignore-ezic","Glory to Arstotzka.","阿斯托茨卡万岁。"
